job titles,company name,Location
Senior Cloud Engineer,Manpower -,"Abu Dhabi, United Arab Emirates"
Sr. Software Engineer,yalla fel sekka -,"Cairo, Egypt"
Data Scientist- EK SkyCargo Temporary (6-12 months contract),Emirates -,"Dubai, United Arab Emirates"
Senior Software Quality Assurance,Duncan & Ross Consulting -,"Doha, Qatar"
Senior Software Quality Assurance,Duncan & Ross -,"Doha, Qatar"
Senior Growth Manager,Careem -,"Dubai, United Arab Emirates"
Senior IOT Engineer,Noases -,"Nasr City, Cairo, Egypt"
Odoo Functional Consultant & Project Manager,Quick Services -,"Shorouk City, Cairo, Egypt"
Senior Data Analyst,Dubizzle -,"Cairo, Egypt"
Business Intelligence Engineer,Amazon Middle East and North Africa FZ-LLC - F52 -,"Dubai, United Arab Emirates"
Senior DevOps Engineer,"Integrant, Inc. -","Cairo, Egypt"
Full Stack Developer,Gulf Business Machines PND -,"Riyadh, Saudi Arabia"
Backend Developer,Gulf Business Machines PND -,"Riyadh, Saudi Arabia"
Senior Application Specialist,Manpower -,"Dubai, United Arab Emirates"
R/Shiny Developer,Appsilon -,"Cairo, Egypt"
IT Services & Consulting,Beinex -,"Dubai, United Arab Emirates"
Software Development Manager,Gulf Business Machines PND -,"Riyadh, Saudi Arabia"
Security Engineer,Core42 -,"Dubai, United Arab Emirates"
